nombre,poblacion,superficie,continente
Rusia,144000000,17098246,Europa
Canadá,39000000,9984670,América
Estados Unidos,339000000,9833517,América
China,1412000000,9596961,Asia
Brasil,214000000,8515767,América
Australia,26700000,7692024,Oceanía
India,1408000000,3287263,Asia
Argentina,45700000,2780400,América
Kazajistán,20000000,2724900,Asia
Argelia,45000000,2381741,África
Arabia Saudita,36000000,2149690,Asia
México,128000000,1964375,América
Indonesia,279000000,1904569,Asia
Sudán,46000000,1861484,África
Libia,7000000,1759540,África
Irán,88000000,1648195,Asia
Mongolia,3500000,1564110,Asia
Perú,34000000,1285216,América
Chad,18000000,1284000,África
Níger,27000000,1267000,África
Angola,36000000,1246700,África
Malí,23000000,1240192,África
Sudáfrica,60000000,1219090,África
Colombia,52000000,1141748,América
Etiopía,126000000,1104300,África
Bolivia,12500000,1098581,América
Mauritania,4700000,1030700,África
Egipto,112000000,1002450,África
Tanzania,67000000,945087,África
Nigeria,227000000,923768,África
Venezuela,28500000,916445,América
Pakistán,243000000,881913,Asia
Namibia,2600000,825615,África
Mozambique,34000000,801590,África
Turquía,86000000,783562,Asia
Chile,19500000,756096,América
Zambia,20000000,752612,África
Afganistán,42000000,652230,Asia
Somalia,18000000,637657,África
República Centroafricana,5200000,622984,África
Sudán del Sur,11000000,619745,África
Ucrania,37000000,603500,Europa
Madagascar,30000000,587041,África
Botsuana,2600000,582000,África
Kenia,56000000,580367,África
Francia,67500000,551695,Europa
Yemen,34000000,527968,Asia
Tailandia,71500000,513120,Asia
España,48600000,505992,Europa
Turkmenistán,6100000,488100,Asia
Camerún,29000000,475442,África
Papúa Nueva Guinea,10000000,462840,Oceanía
Suecia,10500000,450295,Europa
Uzbekistán,35500000,447400,Asia
Irak,46000000,438317,Asia
Paraguay,7500000,406752,América
Zimbabue,16000000,390757,África
Noruega,5500000,385207,Europa
Japón,124000000,377975,Asia
Alemania,83200000,357022,Europa
República del Congo,6000000,342000,África
Finlandia,5600000,338424,Europa
Vietnam,100000000,331212,Asia
Malasia,34000000,330803,Asia
Costa de Marfil,29000000,322463,África
Polonia,38500000,312696,Europa
Omán,4700000,309500,Asia
Italia,59000000,301340,Europa
Filipinas,117000000,300000,Asia
Ecuador,18200000,276841,América
Burkina Faso,23000000,272967,África
Nueva Zelanda,5200000,268021,Oceanía
Gabón,2400000,267668,África
Guinea,14000000,245857,África
Uganda,48000000,241038,África
Ghana,33000000,238533,África
Rumania,19000000,238397,Europa
Laos,7600000,236800,Asia
Guyana,800000,214969,América
Belarús,9100000,207600,Europa
Kirguistán,7000000,199951,Asia
Senegal,18000000,196722,África
Siria,23000000,185180,Asia
Camboya,17000000,181035,Asia
Uruguay,3500000,176215,América
Surinam,620000,163820,América
Túnez,12000000,163610,África
Bangladés,173000000,147570,Asia
Nepal,31000000,147181,Asia
Tayikistán,10200000,143100,Asia
Grecia,10400000,131957,Europa
Nicaragua,7000000,130373,América
Corea del Norte,26000000,120540,Asia
Malaui,21000000,118484,África
Eritrea,3800000,117600,África
Benín,14000000,112622,África
Honduras,10500000,112492,América
Liberia,5500000,111369,África
Bulgaria,6600000,110879,Europa
Cuba,11100000,109884,América
Guatemala,18500000,108889,América
Islandia,390000,103000,Europa
Corea del Sur,51800000,100210,Asia
Hungría,9600000,93028,Europa
Portugal,10400000,92212,Europa
Jordania,11000000,89342,Asia
Azerbaiyán,10400000,86600,Asia
Austria,9100000,83879,Europa
Emiratos Árabes Unidos,9600000,83600,Asia
Serbia,6600000,77474,Europa
Panamá,4500000,75417,América
Sierra Leona,8500000,71740,África
Irlanda,5200000,70273,Europa
Georgia,3800000,69700,Asia
Sri Lanka,22000000,65610,Asia
Lituania,2830000,65300,Europa
Letonia,1860000,64589,Europa
Togo,9000000,56785,África
Croacia,3900000,56594,Europa
Bosnia y Herzegovina,3200000,51129,Europa
Costa Rica,5200000,51100,América
Eslovaquia,5400000,49035,Europa
República Dominicana,11000000,48671,América
Estonia,1330000,45227,Europa
Dinamarca,5900000,43094,Europa
Países Bajos,17700000,41543,Europa
Suiza,8900000,41285,Europa
Bhután,780000,38394,Asia
Guinea-Bisáu,2000000,36125,África
Moldavia,2500000,33846,Europa
Bélgica,11600000,30528,Europa
Lesoto,2300000,30355,África
Armenia,2900000,29743,Asia
Islas Salomón,740000,28896,Oceanía
Albania,2900000,28748,Europa
Guinea Ecuatorial,1800000,28051,África
Burundi,13000000,27834,África
Haití,11600000,27750,América
Ruanda,14000000,26338,África
Macedonia del Norte,2100000,25713,Europa
Yibuti,1100000,23200,África
Belice,440000,22966,América
Israel,9800000,22072,Asia
El Salvador,6700000,21041,América
Eslovenia,2100000,20273,Europa
Fiyi,940000,18274,Oceanía
Kuwait,4400000,17818,Asia
Esuatini,1300000,17364,África
Timor Oriental,1400000,14874,Asia
Bahamas,400000,13943,América
Montenegro,620000,13812,Europa
Vanuatu,340000,12189,Oceanía
Qatar,2900000,11586,Asia
Jamaica,2900000,10991,América
Gambia,2700000,10689,África
Líbano,5500000,10452,Asia
Chipre,1250000,9251,Europa
Puerto Rico,3200000,9104,América
Brunéi,460000,5765,Asia
Trinidad y Tobago,1400000,5130,América
Cabo Verde,600000,4033,África
Samoa,220000,2842,Oceanía
