nombre,poblacion,superficie,continente
Afganistán,42000000,652230,Asia
Albania,2900000,28748,Europa
Alemania,83200000,357022,Europa
Andorra,80000,468,Europa
Angola,36000000,1246700,África
Antigua y Barbuda,100000,442,América
Arabia Saudita,36000000,2149690,Asia
Argelia,45000000,2381741,África
Argentina,45700000,2780400,América
Armenia,2900000,29743,Asia
Australia,26700000,7692024,Oceanía
Austria,9100000,83879,Europa
Azerbaiyán,10400000,86600,Asia
Bahamas,400000,13943,América
Bahréin,1800000,778,Asia
Bangladés,173000000,147570,Asia
Barbados,280000,430,América
Belice,440000,22966,América
Bélgica,11600000,30528,Europa
Belarús,9100000,207600,Europa
Benín,14000000,112622,África
Bhután,780000,38394,Asia
Bolivia,12500000,1098581,América
Bosnia y Herzegovina,3200000,51129,Europa
Botsuana,2600000,582000,África
Brasil,214000000,8515767,América
Brunéi,460000,5765,Asia
Bulgaria,6600000,110879,Europa
Burkina Faso,23000000,272967,África
Burundi,13000000,27834,África
Cabo Verde,600000,4033,África
Camboya,17000000,181035,Asia
Camerún,29000000,475442,África
Canadá,39000000,9984670,América
Chad,18000000,1284000,África
Chile,19500000,756096,América
China,1412000000,9596961,Asia
Chipre,1250000,9251,Europa
Colombia,52000000,1141748,América
Comoras,900000,2235,África
Corea del Norte,26000000,120540,Asia
Corea del Sur,51800000,100210,Asia
Costa de Marfil,29000000,322463,África
Costa Rica,5200000,51100,América
Croacia,3900000,56594,Europa
Cuba,11100000,109884,América
Dinamarca,5900000,43094,Europa
Dominica,72000,751,América
Ecuador,18200000,276841,América
Egipto,112000000,1002450,África
El Salvador,6700000,21041,América
Emiratos Árabes Unidos,9600000,83600,Asia
Eritrea,3800000,117600,África
Eslovaquia,5400000,49035,Europa
Eslovenia,2100000,20273,Europa
España,48600000,505992,Europa
Estados Unidos,339000000,9833517,América
Estonia,1330000,45227,Europa
Esuatini,1300000,17364,África
Etiopía,126000000,1104300,África
Fiyi,940000,18274,Oceanía
Filipinas,117000000,300000,Asia
Finlandia,5600000,338424,Europa
Francia,67500000,551695,Europa
Gabón,2400000,267668,África
Gambia,2700000,10689,África
Georgia,3800000,69700,Asia
Ghana,33000000,238533,África
Grecia,10400000,131957,Europa
Granada,120000,344,América
Guatemala,18500000,108889,América
Guinea,14000000,245857,África
Guinea-Bisáu,2000000,36125,África
Guinea Ecuatorial,1800000,28051,África
Guyana,800000,214969,América
Haití,11600000,27750,América
Honduras,10500000,112492,América
Hungría,9600000,93028,Europa
India,1408000000,3287263,Asia
Indonesia,279000000,1904569,Asia
Irak,46000000,438317,Asia
Irán,88000000,1648195,Asia
Irlanda,5200000,70273,Europa
Islandia,390000,103000,Europa
Islas Marshall,42000,181,Oceanía
Islas Salomón,740000,28896,Oceanía
Israel,9800000,22072,Asia
Italia,59000000,301340,Europa
Jamaica,2900000,10991,América
Japón,124000000,377975,Asia
Jordania,11000000,89342,Asia
Kazajistán,20000000,2724900,Asia
Kenia,56000000,580367,África
Kirguistán,7000000,199951,Asia
Kiribati,130000,811,Oceanía
Kuwait,4400000,17818,Asia
Laos,7600000,236800,Asia
Letonia,1860000,64589,Europa
Líbano,5500000,10452,Asia
Lesoto,2300000,30355,África
Liberia,5500000,111369,África
Libia,7000000,1759540,África
Liechtenstein,39000,160,Europa
Lituania,2830000,65300,Europa
Luxemburgo,670000,2586,Europa
Macedonia del Norte,2100000,25713,Europa
Madagascar,30000000,587041,África
Malasia,34000000,330803,Asia
Malaui,21000000,118484,África
Maldivas,520000,298,Asia
Malí,23000000,1240192,África
Malta,540000,316,Europa
Mauricio,1300000,2040,África
Mauritania,4700000,1030700,África
México,128000000,1964375,América
Micronesia,115000,702,Oceanía
Moldavia,2500000,33846,Europa
Mónaco,39000,2,Europa
Mongolia,3500000,1564110,Asia
Montenegro,620000,13812,Europa
Mozambique,34000000,801590,África
Namibia,2600000,825615,África
Nauru,12500,21,Oceanía
Nepal,31000000,147181,Asia
Nicaragua,7000000,130373,América
Níger,27000000,1267000,África
Nigeria,227000000,923768,África
Noruega,5500000,385207,Europa
Nueva Zelanda,5200000,268021,Oceanía
Omán,4700000,309500,Asia
Países Bajos,17700000,41543,Europa
Pakistán,243000000,881913,Asia
Palaos,18000,459,Oceanía
Panamá,4500000,75417,América
Papúa Nueva Guinea,10000000,462840,Oceanía
Paraguay,7500000,406752,América
Perú,34000000,1285216,América
Polonia,38500000,312696,Europa
Portugal,10400000,92212,Europa
Puerto Rico,3200000,9104,América
Qatar,2900000,11586,Asia
República Centroafricana,5200000,622984,África
República del Congo,6000000,342000,África
República Dominicana,11000000,48671,América
Rumania,19000000,238397,Europa
Rusia,144000000,17098246,Europa
Ruanda,14000000,26338,África
Samoa,220000,2842,Oceanía
San Cristóbal y Nieves,55000,261,América
San Marino,34000,61,Europa
San Vicente y las Granadinas,110000,389,América
Santa Lucía,210000,616,América
Seychelles,100000,455,África
Senegal,18000000,196722,África
Serbia,6600000,77474,Europa
Seychelles,100000,455,África
Sierra Leona,8500000,71740,África
Singapur,5900000,728,Asia
Siria,23000000,185180,Asia
Somalia,18000000,637657,África
Sri Lanka,22000000,65610,Asia
Sudáfrica,60000000,1219090,África
Sudán,46000000,1861484,África
Sudán del Sur,11000000,619745,África
Suecia,10500000,450295,Europa
Suiza,8900000,41285,Europa
Surinam,620000,163820,América
Tailandia,71500000,513120,Asia
Tanzania,67000000,945087,África
Tayikistán,10200000,143100,Asia
Timor Oriental,1400000,14874,Asia
Togo,9000000,56785,África
Tonga,107000,747,Oceanía
Trinidad y Tobago,1400000,5130,América
Túnez,12000000,163610,África
Turkmenistán,6100000,488100,Asia
Turquía,86000000,783562,Asia
Tuvalu,11000,26,Oceanía
Ucrania,37000000,603500,Europa
Uganda,48000000,241038,África
Uruguay,3500000,176215,América
Uzbekistán,35500000,447400,Asia
Vanuatu,340000,12189,Oceanía
Vaticano,800,0.44,Europa
Venezuela,28500000,916445,América
Vietnam,100000000,331212,Asia
Yemen,34000000,527968,Asia
Yibuti,1100000,23200,África
Zambia,20000000,752612,África
Zimbabue,16000000,390757,África
